epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.6801,2.30663,22.6532,1.67034,0.00025,0.02252,0.0001,4e-05,1.75496,3.95827,1.51554,0.00012,0.00012,0.00012
2,112.03,2.13633,7.13679,1.75177,0.00054,0.04891,0.00064,0.00033,1.386,3.63158,1.22195,0.000254852,0.000254852,0.000254852
3,164.862,1.75923,3.50683,1.32115,0.00034,0.03106,0.00027,0.00013,1.40248,3.70296,1.30128,0.00038416,0.00038416,0.00038416
4,215.828,1.83015,4.49786,1.44415,0.00029,0.0264,0.00018,0.0001,1.47982,3.68585,1.31545,0.000507924,0.000507924,0.000507924
5,269.517,1.56502,3.04079,1.27399,9e-05,0.00854,2e-05,1e-05,1.35419,3.48855,1.1846,0.000626144,0.000626144,0.000626144
6,334.324,1.62943,3.77629,1.37232,0.00024,0.02174,9e-05,6e-05,1.30303,3.6613,1.20254,0.00073882,0.00073882,0.00073882
7,399.314,1.84948,3.96299,1.54187,0.00047,0.0427,0.01942,0.01108,1.33268,3.20853,1.20362,0.000845952,0.000845952,0.000845952
8,461.861,1.92608,5.46581,1.53814,0.00048,0.04425,0.00269,0.00151,1.30116,3.35449,1.1762,0.00094754,0.00094754,0.00094754
9,516.657,1.57987,3.19702,1.29143,0.03701,0.01087,0.01736,0.01067,1.301,2.87976,1.20004,0.00104358,0.00104358,0.00104358
10,575.942,1.3973,2.32397,1.22298,0.04804,0.02873,0.0392,0.02452,1.33059,2.47386,1.23499,0.00113408,0.00113408,0.00113408
11,745.435,1.71013,3.60706,1.37735,0.04664,0.00543,0.02036,0.01138,1.47777,2.90731,1.34875,0.00121904,0.00121904,0.00121904
12,841.203,1.57009,3.2999,1.28902,0.0292,0.02407,0.0199,0.01216,1.39947,2.56271,1.3574,0.00129845,0.00129845,0.00129845
13,917.5,1.47799,2.48478,1.27716,0.04589,0.02511,0.03077,0.01986,1.38476,2.49833,1.35589,0.00137232,0.00137232,0.00137232
14,974.649,1.48969,2.4201,1.30034,0.04175,0.03058,0.03913,0.02602,1.3513,2.0069,1.37629,0.00144064,0.00144064,0.00144064
15,1030.15,1.5421,2.33936,1.28901,0.03686,0.03649,0.0384,0.0244,1.3472,2.21578,1.33137,0.0014456,0.0014456,0.0014456
16,1087.8,1.46195,2.53538,1.33061,0.01909,0.02329,0.01429,0.0088,1.40811,2.74979,1.33073,0.001406,0.001406,0.001406
17,1148.87,1.31986,2.54253,1.21695,0.0392,0.03028,0.03063,0.01851,1.5654,2.38003,1.42399,0.0013664,0.0013664,0.0013664
18,1226.67,1.44197,2.56727,1.26696,0.05196,0.02562,0.03479,0.0226,1.42231,2.0982,1.39487,0.0013268,0.0013268,0.0013268
19,1287.35,1.42741,2.17714,1.22277,0.00284,0.0528,0.00303,0.00193,1.38474,17.21,1.34468,0.0012872,0.0012872,0.0012872
20,2969.13,1.64811,2.76626,1.2698,0.00361,0.04503,0.0035,0.00227,1.31648,12.6458,1.3263,0.0012476,0.0012476,0.0012476
21,3026.96,1.39909,2.15864,1.15483,0.00456,0.04037,0.00438,0.00293,1.28882,11.3681,1.3166,0.001208,0.001208,0.001208
22,3080.63,1.52743,2.50338,1.27617,0.04332,0.04193,0.04442,0.02879,1.38519,2.03725,1.35529,0.0011684,0.0011684,0.0011684
23,3133.85,1.61453,3.32634,1.31311,0.04207,0.04037,0.04233,0.02796,1.40962,1.97903,1.34042,0.0011288,0.0011288,0.0011288
